    dBdt_X    dBdt_Z
-9.99900e+03  6.74898e-11 
-9.99900e+03  5.36725e-11 
 1.86419e-12  4.26649e-11 
 1.88484e-12  3.35642e-11 
 1.77351e-12  2.63699e-11 
 1.57586e-12  2.05433e-11 
 1.33846e-12  1.61428e-11 
 1.09767e-12  1.26353e-11 
 8.73940e-13  9.90110e-12 
 6.71656e-13  7.70012e-12 
 4.98456e-13  5.96513e-12 
 3.57988e-13  4.62051e-12 
 2.48391e-13  3.58537e-12 
 1.69428e-13  2.82334e-12 
 1.09347e-13  2.21731e-12 
 6.38382e-14  1.72915e-12 
 3.11710e-14  1.34401e-12 
 8.48749e-15  1.03885e-12 
-6.49733e-15  7.97477e-13 
-1.53706e-14  6.07647e-13 
-1.94002e-14  4.64162e-13 
-2.02407e-14  3.54736e-13 
-1.91963e-14  2.67397e-13 
-1.70207e-14  1.97795e-13 
-1.41777e-14  1.43073e-13 
-1.11067e-14  1.00497e-13 
-9.99900e+03  1.06403e-09 
-9.99900e+03  7.28920e-10 
-9.99900e+03  5.43667e-10 
-9.99900e+03  4.12959e-10 
-9.99900e+03  3.26363e-10 
-9.99900e+03  2.56629e-10 
-9.99900e+03  2.11080e-10 
-9.99900e+03  1.70958e-10 
-9.99900e+03  1.43818e-10 
-9.99900e+03  1.20574e-10 
-9.99900e+03  9.98956e-11 
-9.99900e+03  8.28901e-11 
-9.99900e+03  6.82405e-11 
-4.66104e-12  5.61447e-11 
-3.26768e-12  4.57027e-11 
-2.16156e-12  3.70508e-11 
-1.29025e-12  2.96778e-11 
-6.86839e-13  2.37743e-11 
-2.62867e-13  1.88526e-11 
 5.77674e-15  1.48516e-11 
 1.65283e-13  1.15222e-11 
 2.36991e-13  8.82612e-12 
 2.48810e-13  6.70299e-12 
 2.23577e-13  5.06230e-12 
 1.81972e-13  3.86873e-12 
 1.36874e-13  2.93994e-12 
 9.42170e-14  2.21236e-12 
 5.76895e-14  1.65949e-12 
 2.87668e-14  1.23958e-12 
 7.54347e-15  9.21427e-13 
-6.51837e-15  6.82246e-13 
-1.41882e-14  5.09215e-13 
-1.73685e-14  3.82151e-13 
-1.78126e-14  2.83716e-13 
-1.65253e-14  2.07180e-13 
-1.41411e-14  1.48345e-13 
-1.12600e-14  1.03404e-13 
-9.99900e+03  1.07308e-09 
-9.99900e+03  7.36964e-10 
-9.99900e+03  5.50880e-10 
-9.99900e+03  4.19348e-10 
-9.99900e+03  3.31973e-10 
-9.99900e+03  2.61431e-10 
-9.99900e+03  2.15224e-10 
-9.99900e+03  1.74420e-10 
-9.99900e+03  1.46752e-10 
-9.99900e+03  1.23029e-10 
-9.99900e+03  1.01906e-10 
-9.99900e+03  8.45236e-11 
-9.99900e+03  6.95458e-11 
-4.59970e-12  5.71792e-11 
-3.18217e-12  4.65063e-11 
-2.06551e-12  3.76677e-11 
-1.19356e-12  3.01407e-11 
-5.97179e-13  2.41203e-11 
-1.83910e-13  1.91063e-11 
 7.22872e-14  1.50351e-11 
 2.18893e-13  1.16512e-11 
 2.78381e-13  8.91463e-12 
 2.79610e-13  6.76257e-12 
 2.45788e-13  5.10189e-12 
 1.97949e-13  3.89554e-12 
 1.48181e-13  2.95792e-12 
 1.02077e-13  2.22421e-12 
 6.31517e-14  1.66730e-12 
 3.25896e-14  1.24475e-12 
 1.02509e-14  9.24867e-13 
-4.56576e-15  6.84578e-13 
-1.27388e-14  5.10856e-13 
-1.62730e-14  3.83342e-13 
-1.69875e-14  2.84585e-13 
-1.59115e-14  2.07813e-13 
-1.36926e-14  1.48802e-13 
-1.09410e-14  1.03727e-13 
-9.99900e+03  1.06965e-09 
-9.99900e+03  7.38838e-10 
-9.99900e+03  5.54768e-10 
-9.99900e+03  4.24051e-10 
-9.99900e+03  3.36727e-10 
-9.99900e+03  2.65881e-10 
-9.99900e+03  2.19247e-10 
-9.99900e+03  1.77894e-10 
-9.99900e+03  1.49742e-10 
-9.99900e+03  1.25559e-10 
-9.99900e+03  1.03995e-10 
-9.99900e+03  8.62288e-11 
-9.99900e+03  7.09115e-11 
-4.60047e-12  5.82615e-11 
-3.13733e-12  4.73452e-11 
-1.99583e-12  3.83088e-11 
-1.11370e-12  3.06189e-11 
-5.18748e-13  2.44750e-11 
-1.12645e-13  1.93639e-11 
 1.33245e-13  1.52193e-11 
 2.68310e-13  1.17790e-11 
 3.16448e-13  9.00105e-12 
 3.07693e-13  6.81975e-12 
 2.65760e-13  5.13917e-12 
 2.12091e-13  3.92031e-12 
 1.58023e-13  2.97419e-12 
 1.08806e-13  2.23468e-12 
 6.77723e-14  1.67401e-12 
 3.58131e-14  1.24906e-12 
 1.25519e-14  9.27665e-13 
-2.87411e-15  6.86430e-13 
-1.14508e-14  5.12141e-13 
-1.52735e-14  3.84270e-13 
-1.62152e-14  2.85265e-13 
-1.53227e-14  2.08313e-13 
-1.32530e-14  1.49168e-13 
-1.06227e-14  1.03990e-13 
-9.99900e+03  1.06125e-09 
-9.99900e+03  7.36990e-10 
-9.99900e+03  5.55713e-10 
-9.99900e+03  4.26402e-10 
-9.99900e+03  3.39550e-10 
-9.99900e+03  2.68765e-10 
-9.99900e+03  2.21960e-10 
-9.99900e+03  1.80297e-10 
-9.99900e+03  1.51835e-10 
-9.99900e+03  1.27344e-10 
-9.99900e+03  1.05477e-10 
-9.99900e+03  8.74411e-11 
-9.99900e+03  7.18828e-11 
-4.41375e-12  5.90299e-11 
-2.95488e-12  4.79386e-11 
-1.82589e-12  3.87598e-11 
-9.62201e-13  3.09526e-11 
-3.88844e-13  2.47203e-11 
-4.97859e-15  1.95401e-11 
 2.19731e-13  1.53437e-11 
 3.35218e-13  1.18640e-11 
 3.66302e-13  9.05746e-12 
 3.43634e-13  6.85627e-12 
 2.90955e-13  5.16239e-12 
 2.29795e-13  3.93535e-12 
 1.70279e-13  2.98378e-12 
 1.17142e-13  2.24062e-12 
 7.34571e-14  1.67767e-12 
 3.97351e-14  1.25131e-12 
 1.53064e-14  9.29049e-13 
-8.89621e-16  6.87307e-13 
-9.97004e-15  5.12734e-13 
-1.41448e-14  3.84695e-13 
-1.53564e-14  2.85579e-13 
-1.46770e-14  2.08548e-13 
-1.27762e-14  1.49346e-13 
-1.02806e-14  1.04122e-13 
-9.99900e+03  1.06641e-09 
-9.99900e+03  7.42909e-10 
-9.99900e+03  5.61405e-10 
-9.99900e+03  4.31661e-10 
-9.99900e+03  3.44321e-10 
-9.99900e+03  2.72980e-10 
-9.99900e+03  2.25686e-10 
-9.99900e+03  1.83483e-10 
-9.99900e+03  1.54574e-10 
-9.99900e+03  1.29665e-10 
-9.99900e+03  1.07399e-10 
-9.99900e+03  8.90143e-11 
-9.99900e+03  7.31473e-11 
-4.30042e-12  6.00354e-11 
-2.82462e-12  4.87209e-11 
-1.69327e-12  3.93600e-11 
-8.37373e-13  3.14021e-11 
-2.78564e-13  2.50552e-11 
 8.81834e-14  1.97846e-11 
 2.95397e-13  1.55195e-11 
 3.94096e-13  1.19869e-11 
 4.10216e-13  9.14126e-12 
 3.75193e-13  6.91220e-12 
 3.12924e-13  5.19916e-12 
 2.45094e-13  3.95992e-12 
 1.80759e-13  2.99996e-12 
 1.24192e-13  2.25101e-12 
 7.82232e-14  1.68426e-12 
 4.30129e-14  1.25546e-12 
 1.76193e-14  9.31650e-13 
 7.99021e-16  6.88950e-13 
-8.68669e-15  5.13815e-13 
-1.31475e-14  3.85438e-13 
-1.45831e-14  2.86099e-13 
-1.40848e-14  2.08916e-13 
-1.23321e-14  1.49608e-13 
-9.95759e-15  1.04308e-13 
-9.99900e+03  1.07896e-09 
-9.99900e+03  7.53432e-10 
-9.99900e+03  5.70677e-10 
-9.99900e+03  4.39816e-10 
-9.99900e+03  3.51445e-10 
-9.99900e+03  2.79026e-10 
-9.99900e+03  2.30855e-10 
-9.99900e+03  1.87749e-10 
-9.99900e+03  1.58152e-10 
-9.99900e+03  1.32627e-10 
-9.99900e+03  1.09797e-10 
-9.99900e+03  9.09418e-11 
