dBdt_X dBdt_Z
2.657986654536732201e-13 2.657986654536732201e-13
1.964842830134661000e-13 1.964842830134661000e-13
1.420348114979764613e-13 1.420348114979764613e-13
9.970898508097788303e-14 9.970898508097788303e-14
1.044488474910083512e-09 1.044488474910083512e-09
7.109479866644717807e-10 7.109479866644717807e-10
5.256124724407631250e-10 5.256124724407631250e-10
3.941983738453620464e-10 3.941983738453620464e-10
3.067396440754947519e-10 3.067396440754947519e-10
2.362395501798864139e-10 2.362395501798864139e-10
1.903097117309246366e-10 1.903097117309246366e-10
1.501304694761661403e-10 1.501304694761661403e-10
1.233608546258198968e-10 1.233608546258198968e-10
1.007456829875270052e-10 1.007456829875270052e-10
8.098275322050633797e-11 8.098275322050633797e-11
6.516639713933896250e-11 6.516639713933896250e-11
5.190904147060117140e-11 5.190904147060117140e-11
4.135117265666666346e-11 4.135117265666666346e-11
3.261432293819997170e-11 3.261432293819997170e-11
2.569510180247199581e-11 2.569510180247199581e-11
2.007687252966693373e-11 2.007687252966693373e-11
1.581876731205419218e-11 1.581876731205419218e-11
1.241429820187567111e-11 1.241429820187567111e-11
9.751522576668380791e-12 9.751522576668380791e-12
7.601361495870424276e-12 7.601361495870424276e-12
5.900941873786732401e-12 5.900941873786732401e-12
4.579138100241819798e-12 4.579138100241819798e-12
3.558645581032260114e-12 3.558645581032260114e-12
2.805405882427459799e-12 2.805405882427459799e-12
2.205194198066426765e-12 2.205194198066426765e-12
1.720945012452969856e-12 1.720945012452969856e-12
1.338318629491255401e-12 1.338318629491255401e-12
1.034777036394950584e-12 1.034777036394950584e-12
7.944524015719623277e-13 7.944524015719623277e-13
6.053205597514096983e-13 6.053205597514096983e-13
4.623057498209180695e-13 4.623057498209180695e-13
3.532312659141186819e-13 3.532312659141186819e-13
2.661826222194697651e-13 2.661826222194697651e-13
1.968314890959505617e-13 1.968314890959505617e-13
1.423280215092036377e-13 1.423280215092036377e-13
9.994086507034644103e-14 9.994086507034644103e-14
1.046838853749811054e-09 1.046838853749811054e-09
7.134424357522681998e-10 7.134424357522681998e-10
5.282609220612081042e-10 5.282609220612081042e-10
3.968264106833443440e-10 3.968264106833443440e-10
3.091728640435622028e-10 3.091728640435622028e-10
2.383602534572278079e-10 2.383602534572278079e-10
1.921147317740736981e-10 1.921147317740736981e-10
1.515711712680172303e-10 1.515711712680172303e-10
1.245057987848882210e-10 1.245057987848882210e-10
1.016241112494085598e-10 1.016241112494085598e-10
8.162139742723011091e-11 8.162139742723011091e-11
6.561583643202745344e-11 6.561583643202745344e-11
5.220769387161324537e-11 5.220769387161324537e-11
4.154069090416868745e-11 4.154069090416868745e-11
3.272551092029710229e-11 3.272551092029710229e-11
2.575467072045873539e-11 2.575467072045873539e-11
2.010348353398826479e-11 2.010348353398826479e-11
1.582786369007297607e-11 1.582786369007297607e-11
1.241383043928630509e-11 1.241383043928630509e-11
9.746759514012916655e-12 9.746759514012916655e-12
7.595184098586859160e-12 7.595184098586859160e-12
5.895042249396513156e-12 5.895042249396513156e-12
4.574245971874287545e-12 4.574245971874287545e-12
3.554951024427445714e-12 3.554951024427445714e-12
2.802762937970709131e-12 2.802762937970709131e-12
2.203430466703656644e-12 2.203430466703656644e-12
1.719889705045096819e-12 1.719889705045096819e-12
